SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,10,005,Delaware,Sussex County,10,15,16893,8126,8767,7590,8126,391,489,41,33,63,74,3,1,38,44,7620,8162,405,502,64,66,70,83,7,4,8003,8640,7485,8010,384,486,36,30,62,72,0,0,36,42,7513,8045,397,498,59,62,68,80,4,3,123,127,105,116,7,3,5,3,1,2,3,1,2,2,107,117,8,4,5,4,2,3,3,1
050,10,005,Delaware,Sussex County,10,16,10660,5142,5518,4737,5096,301,330,28,25,52,39,2,1,22,27,4756,5117,308,339,43,46,57,41,2,4,5057,5443,4662,5025,298,326,25,25,52,39,0,1,20,27,4679,5046,303,335,40,46,57,41,0,4,85,75,75,71,3,4,3,0,0,0,2,0,2,0,77,71,5,4,3,0,0,0,2,0
050,10,005,Delaware,Sussex County,10,17,6314,2954,3360,2765,3088,120,194,20,25,27,29,1,1,21,23,2784,3106,124,201,34,41,34,33,1,2,2913,3310,2727,3042,119,194,19,24,27,28,1,1,20,21,2745,3058,123,201,32,39,34,31,1,2,41,50,38,46,1,0,1,1,0,1,0,0,1,2,39,48,1,0,2,2,0,2,0,0
050,10,005,Delaware,Sussex County,10,18,5627,2129,3498,1986,3159,107,273,10,19,15,23,1,1,10,23,1996,3174,112,283,17,34,15,29,2,6,2086,3445,1947,3110,104,272,9,19,15,23,1,1,10,20,1957,3125,109,279,16,34,15,26,2,3,43,53,39,49,3,1,1,0,0,0,0,0,0,3,39,49,3,4,1,0,0,3,0,3
050,10,005,Delaware,Sussex County,11,0,229286,110781,118505,91736,98319,13692,14534,1325,1227,1418,1669,247,204,2363,2552,93838,100558,15284,16262,2066,2038,1806,2063,326,316,99694,108292,82669,89957,13063,13972,496,478,1352,1599,42,48,2072,2238,84513,91918,14458,15489,1123,1174,1701,1956,106,140,11087,10213,9067,8362,629,562,829,749,66,70,205,156,291,314,9325,8640,826,773,943,864,105,107,220,176
050,10,005,Delaware,Sussex County,11,1,11499,5705,5794,4268,4264,944,983,77,82,85,84,14,50,317,331,4561,4568,1198,1249,130,141,133,126,18,60,4327,4341,3102,3069,867,904,14,16,75,70,4,3,265,279,3348,3327,1081,1133,50,57,114,110,8,11,1378,1453,1166,1195,77,79,63,66,10,14,10,47,52,52,1213,1241,117,116,80,84,19,16,10,49
050,10,005,Delaware,Sussex County,11,2,11850,6068,5782,4436,4246,1071,983,93,72,86,88,10,9,372,384,4785,4603,1372,1278,155,136,139,147,16,16,4747,4552,3308,3176,1010,936,16,16,80,81,5,2,328,341,3617,3491,1276,1203,65,68,128,136,9,8,1321,1230,1128,1070,61,47,77,56,6,7,5,7,44,43,1168,1112,96,75,90,68,11,11,7,8
050,10,005,Delaware,Sussex County,11,3,12233,6182,6051,4522,4376,1078,1028,129,137,84,92,21,17,348,401,4845,4740,1343,1341,195,216,134,149,35,32,5010,4857,3580,3422,1016,971,17,25,75,90,2,2,320,347,3876,3739,1261,1246,74,84,122,141,16,15,1172,1194,942,954,62,57,112,112,9,2,19,15,28,54,969,1001,82,95,121,132,12,8,19,17
050,10,005,Delaware,Sussex County,11,4,10846,5614,5232,4132,3806,979,954,112,93,93,65,17,12,281,302,4386,4081,1192,1172,176,167,137,112,25,19,4658,4421,3370,3175,912,894,35,17,87,61,1,2,253,272,3601,3422,1102,1089,91,83,128,106,6,8,956,811,762,631,67,60,77,76,6,4,16,10,28,30,785,659,90,83,85,84,9,6,19,11
050,10,005,Delaware,Sussex County,11,5,10315,5385,4930,3907,3626,1057,921,63,64,80,87,76,25,202,207,4082,3811,1200,1057,121,129,111,118,84,34,4581,4278,3314,3126,990,872,21,12,73,85,2,1,181,182,3472,3289,1119,991,69,69,103,113,9,9,804,652,593,500,67,49,42,52,7,2,74,24,21,25,610,522,81,66,52,60,8,5,75,25
050,10,005,Delaware,Sussex County,11,6,12078,6122,5956,4763,4558,1044,1016,63,89,94,118,8,14,150,161,4892,4697,1143,1121,120,142,117,150,13,21,5450,5364,4205,4088,1002,989,20,31,92,113,3,2,128,141,4316,4209,1088,1083,66,75,112,139,5,7,672,592,558,470,42,27,43,58,2,5,5,12,22,20,576,488,55,38,54,67,5,11,8,14
050,10,005,Delaware,Sussex County,11,7,11340,5585,5755,4351,4423,878,966,131,103,105,145,24,8,96,110,4435,4519,932,1038,168,142,127,161,27,13,4749,5067,3721,3886,822,932,24,17,101,139,4,3,77,90,3787,3963,867,990,51,49,120,153,6,7,836,688,630,537,56,34,107,86,4,6,20,5,19,20,648,556,65,48,117,93,7,8,21,6
050,10,005,Delaware,Sussex County,11,8,11242,5579,5663,4418,4428,841,888,90,95,113,141,29,10,88,101,4495,4512,889,950,125,134,130,160,33,17,4765,4951,3756,3861,809,840,18,23,105,131,4,3,73,93,3819,3939,849,896,45,58,120,149,8,10,814,712,662,567,32,48,72,72,8,10,25,7,15,8,676,573,40,54,80,76,10,11,25,7
050,10,005,Delaware,Sussex County,11,9,10360,4988,5372,4058,4343,642,756,99,81,95,98,9,15,85,79,4128,4412,689,800,142,113,112,115,11,21,4162,4675,3387,3780,598,716,16,20,93,96,1,3,67,60,3442,3832,633,746,50,46,105,110,3,7,826,697,671,563,44,40,83,61,2,2,8,12,18,19,686,580,56,54,92,67,7,5,8,14
050,10,005,Delaware,Sussex County,11,10,12177,5933,6244,4912,5129,765,835,82,85,85,117,17,11,72,67,4972,5186,799,868,115,117,101,131,22,16,5242,5628,4339,4636,734,796,17,27,83,109,5,5,64,55,4391,4683,764,824,48,54,98,120,9,7,691,616,573,493,31,39,65,58,2,8,12,6,8,12,581,503,35,44,67,63,3,11,13,9
